id	name	pub_id	rule_type	status_id	status_reason_id	priority	floor_value	start_date	end_date	timezone	start_time_parting	end_time_parting	days_of_week	migrated	publisher_owned	auction_type	matched_users	latest_rule_id	created_from	deleted	publisher_editable	creation_time	modification_time	goal_cpm_enabled	minimum_bid_value	additional_info	last_edited_by	owner_id	owner_type	archived	channel_type_id	rule_description	deal_category	failed_reason	currency_id	always_on	applicability
169292	Fragile_Carollinum_Adform_Branding_2020_DATA1	49307	ENDL	1	NULL	5	13.31	2020-01-21 06:48:06	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882540	NULL	0	0	2020-01-21 06:45:47	2020-01-21 06:45:51	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169293	Fragile_Carollinum_Adform_Branding_2020_DATA2	49307	ENDL	1	NULL	5	13.31	2020-01-21 06:58:57	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882542	NULL	0	0	2020-01-21 06:56:39	2020-01-21 06:56:42	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169352	Bayer - PD - Seznam - Branding - banner - url_2020	49307	ENDL	1	NULL	5	14.08	2020-01-22 07:08:08	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882706	NULL	0	0	2020-01-22 07:05:49	2020-01-22 07:05:51	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169387	TasteSun_MaximaPojiovna_Adform_Branding_2020_DATA1	49307	ENDL	1	NULL	5	14.41	2020-01-23 01:17:22	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882846	NULL	0	0	2020-01-23 01:15:01	2020-01-23 01:15:04	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169390	Medea_Programmatic_sro_DV360_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:13:39	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882860	NULL	0	0	2020-01-23 03:11:19	2020-01-23 03:11:22	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169391	Medea_Adform_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:16:08	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882861	NULL	0	0	2020-01-23 03:13:47	2020-01-23 03:13:50	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169392	Medea_Havas_Adform_Brading_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:18:29	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882862	NULL	0	0	2020-01-23 03:16:08	2020-01-23 03:16:11	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169393	Havas_DV360_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:21:24	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882863	NULL	0	0	2020-01-23 03:19:03	2020-01-23 03:19:05	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169394	Havas_Adform_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:23:08	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882864	NULL	0	0	2020-01-23 03:20:47	2020-01-23 03:20:50	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169395	Medea_Wustenrot_Adform_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:24:55	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882865	NULL	0	0	2020-01-23 03:22:34	2020-01-23 03:22:37	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169396	OMD_Accuen_Adform_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:26:33	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882866	NULL	0	0	2020-01-23 03:24:12	2020-01-23 03:24:15	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169397	OMD_Czech_DV360_Branding_2020	49307	ENDL	1	NULL	5	13.2	2020-01-23 03:28:39	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882867	NULL	0	0	2020-01-23 03:26:18	2020-01-23 03:26:21	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169405	Acomware_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-23 03:44:50	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882876	NULL	0	0	2020-01-23 03:42:29	2020-01-23 03:42:32	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169409	Adlive_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-23 03:46:00	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2884251	NULL	0	0	2020-01-23 03:44:12	2020-02-03 02:01:49	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169419	ANTstudio_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-23 04:23:41	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882890	NULL	0	0	2020-01-23 04:21:20	2020-01-23 04:21:24	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169420	MagnasMedia_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-23 04:26:36	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882891	NULL	0	0	2020-01-23 04:24:15	2020-01-23 04:24:18	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169421	MagnasMediaCZ_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-23 04:28:31	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882892	NULL	0	0	2020-01-23 04:26:10	2020-01-23 04:26:13	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169422	MagnasMedia_CentralGroup_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-23 04:32:11	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882893	NULL	0	0	2020-01-23 04:29:50	2020-01-23 04:29:53	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169461	OMD_HP_DV360_Branding_2020	49307	ENDL	1	NULL	5	7.48	2020-01-24 00:57:55	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882976	NULL	0	0	2020-01-24 00:55:33	2020-01-24 00:55:37	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169462	OMD_Renault_DV360_Branding_2020	49307	ENDL	1	NULL	5	7.48	2020-01-24 01:00:06	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882977	NULL	0	0	2020-01-24 00:57:43	2020-01-24 00:57:46	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169463	OMD_SkylinkCZ_Adform_Branding_2020	49307	ENDL	1	NULL	5	7.48	2020-01-24 01:02:13	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882978	NULL	0	0	2020-01-24 00:59:51	2020-01-24 00:59:54	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169464	OMD_UPC_Adform_Branding_2020	49307	ENDL	1	NULL	5	7.48	2020-01-24 01:04:04	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882980	NULL	0	0	2020-01-24 01:01:42	2020-01-24 01:01:45	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169465	OMD_Accuen_Inventory_Adform_Branding_2020	49307	ENDL	1	NULL	5	7.48	2020-01-24 01:06:45	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882982	NULL	0	0	2020-01-24 01:04:23	2020-01-24 01:04:26	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169466	OMD_Czech_Inventory_DV360_Branding_2020	49307	ENDL	1	NULL	5	7.48	2020-01-24 01:08:51	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882983	NULL	0	0	2020-01-24 01:06:29	2020-01-24 01:06:32	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
